amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700148,MARIPI,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,131,121,1064.0,8.122137404580153
0700235,SAMACA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,646,583,2384.0,3.6904024767801857
0700137,LA VICTORIA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,94,90,266.0,2.8297872340425534
0700298,TASCO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,267,236,634.0,2.3745318352059925
0700346,ZETAQUIRA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,350,308,821.0,2.3457142857142856
0700217,RAMIRIQUI,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,492,451,1154.0,2.345528455284553
0700151,MIRAFLORES,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,505,463,1156.0,2.289108910891089
0700163,MUZO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,271,239,598.0,2.206642066420664
0700249,SAN PABLO DE BORBUR,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,189,172,393.0,2.0793650793650795
0700286,SUSACON,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,135,125,279.0,2.066666666666667
0700271,SOCOTA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,265,223,508.0,1.9169811320754717
0700328,TUTA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,558,538,1066.0,1.9103942652329748
0700085,EL ESPINO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,89,80,169.0,1.898876404494382
0700016,BERBEO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,148,138,265.0,1.7905405405405406
0700061,CUITIVA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,130,123,227.0,1.7461538461538462
0700232,SACHICA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,337,314,585.0,1.7359050445103859
0700179,PAEZ,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,210,200,348.0,1.6571428571428573
0700040,CAMPOHERMOSO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,150,142,246.0,1.64
0700028,BRICEÑO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,315,294,516.0,1.638095238095238
0700176,OTANCHE,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,424,392,694.0,1.6367924528301887
0700190,PAUNA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,328,300,531.0,1.6189024390243902
0700049,COMBITA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1144,1111,1744.0,1.5244755244755244
0700157,MONGUI,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,405,381,611.0,1.508641975308642
